Molecule ID,Ligand drift pose count
CHEMBL489765,11
CHEMBL489766,3
CHEMBL490029,16
CHEMBL490220,6
CHEMBL490425,8
CHEMBL490426,9
CHEMBL490832,11
CHEMBL491627,10
CHEMBL491751,13
CHEMBL491820,5
CHEMBL491950,3
CHEMBL492047,1
CHEMBL495990,15
CHEMBL496807,9
CHEMBL497203,7
CHEMBL497204,4
CHEMBL499038,0
CHEMBL501335,10
CHEMBL501439,12
CHEMBL501440,16
CHEMBL501617,9
CHEMBL502521,4
CHEMBL503072,12
CHEMBL5070178,4
CHEMBL5071398,8
CHEMBL5071964,0
CHEMBL5072619,2
CHEMBL5074074,0
CHEMBL5074222,0
CHEMBL5074984,2
CHEMBL5075443,8
CHEMBL5075652,0
CHEMBL5075710,0
CHEMBL5075917,3
CHEMBL5076063,0
CHEMBL5076679,0
CHEMBL5077172,0
CHEMBL5077367,13
CHEMBL5077842,2
CHEMBL5078096,0
CHEMBL5078180,0
CHEMBL5078556,4
CHEMBL5078732,1
CHEMBL5079792,0
CHEMBL5079871,2
CHEMBL5079941,1
CHEMBL5080474,0
CHEMBL5080632,4
CHEMBL5080856,12
CHEMBL5080884,20
CHEMBL5081013,1
CHEMBL5081430,8
CHEMBL5081786,0
CHEMBL5081988,6
CHEMBL5081996,9
CHEMBL5082042,0
CHEMBL5083326,4
CHEMBL5083878,4
CHEMBL5084314,4
CHEMBL5084336,3
CHEMBL5084422,10
CHEMBL5084529,8
CHEMBL5084763,3
CHEMBL5085291,20
CHEMBL5085496,3
CHEMBL5085545,6
CHEMBL5085618,0
CHEMBL5086086,0
CHEMBL5086718,1
CHEMBL5087046,0
CHEMBL5087313,14
CHEMBL5087457,0
CHEMBL5087514,12
CHEMBL5087538,0
CHEMBL5087638,0
CHEMBL5087833,0
CHEMBL5087861,0
CHEMBL5088299,0
CHEMBL5089010,10
CHEMBL5089520,2
CHEMBL5089555,15
CHEMBL5089733,5
CHEMBL5089975,5
CHEMBL5090334,0
CHEMBL5090355,1
CHEMBL5090373,0
CHEMBL5090820,0
CHEMBL5090821,8
CHEMBL5090873,2
CHEMBL5091134,0
CHEMBL5091419,17
CHEMBL5092049,12
CHEMBL509236,9
CHEMBL5092961,1
CHEMBL509369,0
CHEMBL5093865,6
CHEMBL5093897,0
CHEMBL5094028,6
CHEMBL5094105,5
CHEMBL5094953,0
CHEMBL510180,12
CHEMBL511100,15
CHEMBL512563,3
CHEMBL513244,9
CHEMBL514007,16
CHEMBL514173,14
CHEMBL514174,13
CHEMBL515666,0
CHEMBL515991,0
CHEMBL5171949,13
CHEMBL5172173,9
CHEMBL5173082,12
CHEMBL5173134,11
CHEMBL517436,1
CHEMBL518038,6
CHEMBL5182467,8
CHEMBL5184438,10
CHEMBL518499,0
CHEMBL518507,3
CHEMBL5187974,2
CHEMBL519060,5
CHEMBL5191536,12
CHEMBL5191690,12
CHEMBL5194126,18
CHEMBL5194570,18
CHEMBL5195064,12
CHEMBL5196394,13
CHEMBL5196830,16
CHEMBL5198233,1
CHEMBL519857,14
CHEMBL5199782,13
CHEMBL5202264,3
CHEMBL5203327,8
CHEMBL5204992,17
CHEMBL5207071,1
CHEMBL5207420,13
CHEMBL521289,9
CHEMBL521796,2
CHEMBL521925,13
CHEMBL522772,1
CHEMBL522936,7
CHEMBL523650,10
CHEMBL524063,16
CHEMBL525772,15
CHEMBL526740,6
CHEMBL549746,13
CHEMBL556073,11
CHEMBL557580,9
CHEMBL558083,0
CHEMBL559567,1
CHEMBL560160,0
CHEMBL560830,6
CHEMBL564902,19
CHEMBL572565,5
CHEMBL572566,4
CHEMBL572794,15
CHEMBL572795,1
CHEMBL573015,12
CHEMBL573252,14
CHEMBL573492,6
CHEMBL574386,11
CHEMBL574606,2
CHEMBL574607,8
CHEMBL574824,16
CHEMBL575687,10
CHEMBL57710,11
CHEMBL583300,12
CHEMBL58339,8
CHEMBL583759,16
CHEMBL593796,16
CHEMBL593801,12
CHEMBL594034,14
CHEMBL595,9
CHEMBL601678,18
CHEMBL602468,15
CHEMBL603,17
CHEMBL60633,14
CHEMBL64972,14
CHEMBL65458,19
CHEMBL683,3
CHEMBL69018,17
CHEMBL7550,11
CHEMBL86657,4
CHEMBL86658,4
CHEMBL86688,5
CHEMBL86817,2
CHEMBL87928,2
CHEMBL88917,1
CHEMBL981,0
